time,open,high,low,close,tick_volume,spread,real_volume
2021-12-17 09:00:00,0.91885,0.91968,0.91857,0.91965,1729,0,0
2021-12-17 10:00:00,0.91964,0.91984,0.91794,0.91796,2844,0,0
2021-12-17 11:00:00,0.91795,0.91832,0.91746,0.91794,2749,0,0
2021-12-17 12:00:00,0.91795,0.91888,0.91772,0.91872,1876,0,0
2021-12-17 13:00:00,0.91868,0.91972,0.91865,0.91962,1622,0,0
2021-12-17 14:00:00,0.91963,0.92001,0.91817,0.9186,2032,0,0
2021-12-17 15:00:00,0.9186,0.92096,0.91822,0.92075,2714,0,0
2021-12-17 16:00:00,0.92076,0.92129,0.92018,0.92057,3451,0,0
2021-12-17 17:00:00,0.92057,0.9224,0.92009,0.92228,3983,0,0
2021-12-17 18:00:00,0.92228,0.92306,0.9219,0.92271,2571,0,0
2021-12-17 19:00:00,0.92269,0.92383,0.92266,0.92359,1322,0,0
2021-12-17 20:00:00,0.92359,0.92445,0.92323,0.92439,1355,0,0
2021-12-17 21:00:00,0.92439,0.92445,0.92358,0.92373,1257,0,0
2021-12-17 22:00:00,0.92375,0.92447,0.92334,0.92444,1718,0,0
2021-12-17 23:00:00,0.92446,0.92461,0.92401,0.92413,757,3,0
2021-12-20 00:00:00,0.92384,0.92428,0.9216,0.92408,308,30,0
2021-12-20 01:00:00,0.92408,0.92441,0.9232,0.9233,604,3,0
2021-12-20 02:00:00,0.92329,0.92377,0.92329,0.9234,584,1,0
2021-12-20 03:00:00,0.9234,0.92436,0.92335,0.92408,848,0,0
2021-12-20 04:00:00,0.92407,0.92435,0.92351,0.92363,761,0,0
2021-12-20 05:00:00,0.92363,0.92376,0.92343,0.92372,391,0,0
2021-12-20 06:00:00,0.92372,0.92392,0.92346,0.92368,388,1,0
2021-12-20 07:00:00,0.92368,0.92372,0.9232,0.92329,547,0,0
2021-12-20 08:00:00,0.92329,0.92362,0.92315,0.92349,657,0,0
2021-12-20 09:00:00,0.92349,0.92436,0.92324,0.92388,1816,0,0
2021-12-20 10:00:00,0.92387,0.92459,0.92291,0.92308,2593,0,0
2021-12-20 11:00:00,0.92307,0.92505,0.92241,0.92401,2631,0,0
2021-12-20 12:00:00,0.92401,0.9243,0.92351,0.92375,2740,0,0
2021-12-20 13:00:00,0.92375,0.92392,0.923,0.92369,1740,0,0
2021-12-20 14:00:00,0.92368,0.92403,0.92305,0.92331,1971,0,0
2021-12-20 15:00:00,0.92332,0.92363,0.92146,0.92198,2547,0,0
2021-12-20 16:00:00,0.92198,0.92219,0.92106,0.92118,3312,0,0
2021-12-20 17:00:00,0.92118,0.92164,0.91923,0.92099,3386,0,0
2021-12-20 18:00:00,0.92098,0.92119,0.91977,0.9201,2206,0,0
2021-12-20 19:00:00,0.9201,0.92134,0.91993,0.92128,2539,0,0
2021-12-20 20:00:00,0.92128,0.92188,0.92123,0.92185,751,0,0
2021-12-20 21:00:00,0.92185,0.92244,0.92144,0.92244,1148,0,0
2021-12-20 22:00:00,0.92245,0.92245,0.92125,0.92125,1401,0,0
2021-12-20 23:00:00,0.92126,0.92172,0.92111,0.92138,778,2,0
2021-12-21 00:00:00,0.92127,0.9217,0.91937,0.92128,824,24,0
2021-12-21 01:00:00,0.92128,0.92174,0.92109,0.92171,442,5,0
2021-12-21 02:00:00,0.92171,0.92192,0.9215,0.92158,366,1,0
2021-12-21 03:00:00,0.92154,0.92166,0.92116,0.92159,606,2,0
2021-12-21 04:00:00,0.92159,0.92163,0.9213,0.92141,356,2,0
2021-12-21 05:00:00,0.9214,0.92164,0.92138,0.92156,329,2,0
2021-12-21 06:00:00,0.92157,0.92178,0.92141,0.9217,426,2,0
2021-12-21 07:00:00,0.92169,0.92213,0.92158,0.922,446,0,0
2021-12-21 08:00:00,0.922,0.92213,0.92172,0.9219,581,0,0
2021-12-21 09:00:00,0.92186,0.92199,0.92045,0.92102,1509,0,0
2021-12-21 10:00:00,0.92102,0.92132,0.9195,0.9198,2867,0,0
2021-12-21 11:00:00,0.9198,0.9208,0.91967,0.92068,2712,0,0
2021-12-21 12:00:00,0.92069,0.92146,0.9205,0.92141,2353,0,0
2021-12-21 13:00:00,0.92141,0.92255,0.92134,0.92225,2065,0,0
2021-12-21 14:00:00,0.92224,0.92287,0.92186,0.92202,2021,0,0
2021-12-21 15:00:00,0.92202,0.9229,0.92134,0.92274,2498,0,0
2021-12-21 16:00:00,0.92274,0.92395,0.9225,0.92388,2628,0,0
2021-12-21 17:00:00,0.92388,0.9252,0.92351,0.92504,3694,0,0
2021-12-21 18:00:00,0.92504,0.9253,0.92426,0.92428,2264,0,0
2021-12-21 19:00:00,0.9243,0.92541,0.92419,0.92507,1497,0,0
2021-12-21 20:00:00,0.92507,0.92522,0.92423,0.92436,1469,0,0
2021-12-21 21:00:00,0.92436,0.92442,0.92375,0.92379,1144,0,0
2021-12-21 22:00:00,0.9238,0.92392,0.92355,0.92375,899,0,0
2021-12-21 23:00:00,0.92375,0.92379,0.92315,0.92315,478,4,0
2021-12-22 00:00:00,0.92335,0.9242,0.92252,0.9236,559,24,0
2021-12-22 01:00:00,0.92363,0.92369,0.92301,0.92301,450,9,0
2021-12-22 02:00:00,0.92301,0.9237,0.92301,0.92366,385,2,0
2021-12-22 03:00:00,0.92367,0.92372,0.92313,0.92369,408,4,0
2021-12-22 04:00:00,0.92367,0.92403,0.92367,0.92385,409,1,0
2021-12-22 05:00:00,0.92385,0.9241,0.92368,0.924,340,0,0
2021-12-22 06:00:00,0.92401,0.92419,0.92401,0.92406,295,0,0
2021-12-22 07:00:00,0.92406,0.92484,0.92399,0.92427,472,1,0
2021-12-22 08:00:00,0.92427,0.92481,0.924,0.9247,788,2,0
2021-12-22 09:00:00,0.9247,0.92512,0.9244,0.92492,1175,0,0
2021-12-22 10:00:00,0.92493,0.92524,0.92421,0.92477,2256,0,0
2021-12-22 11:00:00,0.92477,0.92496,0.92411,0.9244,1663,0,0
2021-12-22 12:00:00,0.9244,0.92468,0.92294,0.92351,2184,0,0
2021-12-22 13:00:00,0.92351,0.92351,0.9222,0.92289,2115,0,0
2021-12-22 14:00:00,0.92289,0.92296,0.92229,0.9223,1962,0,0
2021-12-22 15:00:00,0.92227,0.92321,0.92189,0.922,2428,0,0
2021-12-22 16:00:00,0.922,0.9224,0.92095,0.92206,2972,0,0
2021-12-22 17:00:00,0.92207,0.92234,0.92087,0.92101,3092,0,0
2021-12-22 18:00:00,0.92101,0.92101,0.91959,0.92009,3014,0,0
2021-12-22 19:00:00,0.92009,0.92014,0.91956,0.91986,1741,0,0
2021-12-22 20:00:00,0.91985,0.92044,0.91981,0.92006,1117,2,0
2021-12-22 21:00:00,0.92006,0.92025,0.91965,0.91967,1154,1,0
2021-12-22 22:00:00,0.91967,0.9197,0.919,0.91908,1010,2,0
2021-12-22 23:00:00,0.91908,0.91957,0.91899,0.91949,648,5,0
2021-12-23 00:00:00,0.91983,0.92027,0.91893,0.91965,488,25,0
2021-12-23 01:00:00,0.91956,0.91995,0.91934,0.91944,637,8,0
2021-12-23 02:00:00,0.91947,0.91955,0.91899,0.91912,431,0,0
2021-12-23 03:00:00,0.91918,0.91927,0.91888,0.91904,326,1,0
2021-12-23 04:00:00,0.91903,0.91952,0.91902,0.91933,319,2,0
2021-12-23 05:00:00,0.91934,0.91949,0.91927,0.91935,444,0,0
2021-12-23 06:00:00,0.91934,0.91937,0.91891,0.91899,315,0,0
2021-12-23 07:00:00,0.919,0.91915,0.91872,0.91914,288,0,0
2021-12-23 08:00:00,0.91908,0.91949,0.91889,0.91941,447,1,0
2021-12-23 09:00:00,0.91941,0.91998,0.9191,0.91966,966,0,0
2021-12-23 10:00:00,0.91966,0.92113,0.91964,0.92098,1831,0,0
2021-12-23 11:00:00,0.92098,0.9219,0.92028,0.92028,1570,0,0
2021-12-23 12:00:00,0.92028,0.92062,0.91915,0.91945,1413,0,0
2021-12-23 13:00:00,0.91958,0.92037,0.91924,0.92026,1747,0,0
2021-12-23 14:00:00,0.92025,0.92119,0.91999,0.9208,2207,0,0
2021-12-23 15:00:00,0.9208,0.92131,0.92011,0.92045,2854,0,0
2021-12-23 16:00:00,0.92046,0.92126,0.91899,0.91907,2914,1,0
2021-12-23 17:00:00,0.91906,0.92035,0.91807,0.92011,3669,0,0
2021-12-23 18:00:00,0.92011,0.92019,0.91848,0.91865,2321,0,0
2021-12-23 19:00:00,0.91865,0.91869,0.91763,0.91766,1728,0,0
2021-12-23 20:00:00,0.91766,0.91824,0.91749,0.91812,1213,1,0
2021-12-23 21:00:00,0.91807,0.91833,0.91781,0.91804,1181,1,0
2021-12-23 22:00:00,0.91805,0.9184,0.91784,0.91792,686,0,0
2021-12-23 23:00:00,0.91791,0.91851,0.91782,0.91819,586,5,0
2021-12-24 00:00:00,0.91803,0.91891,0.91732,0.91802,329,24,0
2021-12-24 01:00:00,0.91802,0.91865,0.91748,0.91859,1450,62,0
2021-12-24 02:00:00,0.91859,0.91892,0.91739,0.91752,1756,11,0
2021-12-24 03:00:00,0.91751,0.91786,0.91733,0.91758,5500,14,0
2021-12-24 04:00:00,0.91759,0.91798,0.91755,0.9179,2717,6,0
2021-12-24 05:00:00,0.91788,0.918,0.91757,0.91777,2701,8,0
2021-12-24 06:00:00,0.91778,0.91803,0.91674,0.9172,3169,7,0
2021-12-24 07:00:00,0.91731,0.9177,0.91663,0.9172,1869,6,0
2021-12-24 08:00:00,0.91719,0.91759,0.91706,0.91718,722,1,0
2021-12-24 09:00:00,0.91715,0.91755,0.917,0.9171,1776,0,0
2021-12-24 10:00:00,0.9171,0.91837,0.91702,0.91811,3502,0,0
2021-12-24 11:00:00,0.9181,0.91811,0.91699,0.91729,2004,3,0
2021-12-24 12:00:00,0.91729,0.91742,0.91695,0.91735,3182,3,0
2021-12-24 13:00:00,0.91737,0.91782,0.91706,0.91748,1790,0,0
2021-12-24 14:00:00,0.91749,0.91871,0.91732,0.91841,1504,1,0
2021-12-24 15:00:00,0.91841,0.91962,0.91799,0.91869,3881,3,0
2021-12-24 16:00:00,0.91868,0.919,0.91857,0.91897,1039,13,0
2021-12-24 17:00:00,0.91897,0.91936,0.91849,0.91928,2986,11,0
2021-12-24 18:00:00,0.91928,0.91963,0.91874,0.91894,1524,13,0
2021-12-24 19:00:00,0.91887,0.91947,0.91886,0.91936,847,13,0
2021-12-24 20:00:00,0.91937,0.91943,0.91806,0.91833,1951,12,0
2021-12-27 00:00:00,0.91743,0.91934,0.91711,0.91824,302,62,0
2021-12-27 01:00:00,0.91817,0.91889,0.91754,0.91886,769,9,0
2021-12-27 02:00:00,0.91886,0.91956,0.91879,0.91904,664,2,0
2021-12-27 03:00:00,0.919,0.91924,0.91882,0.91923,352,1,0
2021-12-27 04:00:00,0.91923,0.91956,0.9191,0.91944,337,0,0
2021-12-27 05:00:00,0.91944,0.91959,0.91923,0.9193,252,2,0
2021-12-27 06:00:00,0.9193,0.91962,0.91917,0.91952,262,2,0
2021-12-27 07:00:00,0.91952,0.91982,0.91945,0.91953,292,0,0
